"#property","latitude","longitude","name","address","telephoneNumber","targetChildren","capacity","availableDate","normalTime","normalPrice","extendedChildcare","detailPrice","longVacation","longVacationPrice","registrationFee","insuranceFee","snack","lunch","note"
"1","34.3449589","134.0399965","放課後児童クラブまある","番町ニ丁目14番2号 1階","087-813-2251","小学1～6年生","40人","月～土曜日
土曜日については月１回施設の指定する日のみ","放課後～19:00
土曜日　８:０0～19:00","20,000円/月　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","ー","ー","8:00～19:00","5日間　12,000円","利用料に含む","利用料に含む","利用料に含む","各自持参・弁当注文当日受付あり","学校休校日、警報時も8：00～19：00利用可
英会話、体操教室、学習指導あり　　　　　　　　　※上記すべて追加料金なし　"
"12","34.3390441","134.0777782","アーク放課後スクール","木太町２６７０番地４","087-837-9051","小学1～6年生","４０人","月～土曜日","放課後～19:00
土曜日　8:00～18:00","【定期】　　月～金曜日　13,000円/月
　　　　　　土曜日　1,500円/日
【不定期】　月～金曜日　1,300円/日
　　　　　　土曜日　2,000円/日","7:30～8:00、19:00～21:00","500円/30分","8:00～18:00","1.3.4.7.12月【定期】月～金曜日(8時間)18,000円/月 例:8:00～15:00など
月～金曜日(8時間以上)21,000円/月 土曜日2,000円/日
【不定期】月～土曜日　2,500円/日
8月【定期】月～金曜日(8時間)20,000円/月 例:8:00～15:00など
月～金曜日(8時間以上)23,000円/月
土曜日2,000円/日
【不定期】月～土曜日2,500円/日","【定期】3,000円/年　【不定期】1,500円/年","500円/年","利用料に含む","弁当各自持参","兄弟割引あり
警報発令時開園
緊急下校へのお迎え対応あり
長期休暇のみの方はご相談ください。"
"13","34.3027567","134.0484587","学童クラブ　すり～ふれんず
第１教室","太田下町1676番地３","087-864-3103/087-864-3137","小学1～6年生","30人","月～土曜日","放課後～19:00
土曜日  7:30～18:00","【定期】   月～金曜日              15,000円/月
   　　　　土曜日
　　　　　7：30～13：00　　 600円
　　　　　13：00～18：00　　900円　   　 
【不定期】月～金曜日        　　1,200円/日
　　　　　土曜日
　　　　 　7：30～13：00          800円
　　　　　13：00～18：00     1,200円　　　　","　        　　7:00～7:30
月～金　19:00～20:00
土曜日　18:00～19:30","500円/時間","7:30～19:00","【定期】 　１、３、４、７、１２月　
           　　　　                    20,000円/月
 　　　　  ８月 　                  25,000円/月
【不定期】 8:0０～13:00           800円/日
　           13:00～19:00        1,200円/日","（新規）5,000円　（継続）4,500円","800円/年","利用料に含む","各自持参","兄弟姉妹割引あり（入会金１名分のみ）
兄弟姉妹割引あり（保育料）
母子家庭又は父子家庭（登録料免除）"
"14","34.3028976","134.0504708","学童クラブ　すり～ふれんず
第２教室","太田下町1676番地1","087-864-3103/087-864-3137","小学1～6年生","40人","月～土曜日","放課後～19:00
土曜日  7:30～18:00","【定期】   月～金曜日              15,000円/月
   　　　　土曜日
　　　　　7：30～13：00　　 600円
　　　　　13：00～18：00　　900円　   　 
【不定期】月～金曜日        　　1,200円/日
　　　　　土曜日
　　　　 　7：30～13：00          800円
　　　　　13：00～18：00     1,200円　　　　","　        　　7:00～7:30
月～金　19:00～20:00
土曜日　18:00～19:30","500円/時間","7:30～19:00（延長保育あり）","【定期】 　
１、３、４、７、１２月　        　　　　                  20,000円/月
 　　　　  
８月 　                  
25,000円/月
【不定期】 
8:0０～13:00           
800円/日
　           
13:00～19:00        
1,200円/日","（新規）5,000円　（継続）4,500円","800円/年","利用料に含む","各自持参","兄弟姉妹割引あり（入会金1名分のみ）
兄弟姉妹割引あり（保育料）
母子家庭又は父子家庭（登録料免除）"
"15","34.2915888","134.0437701","学童保育なかよしクラブ（第１）","多肥上町1番地3","087-880-1588/080-5664-7790","小学1～6年生","70人（長期休暇中のみの利用を含む）","月～土曜日","放課後～19:30
土曜日　7:30～19:30","10,000円/月 10,000円未満の場合は以下の日割り  平日　700円/日 土曜日　1,200円/日","７:00～7:30、19:30～20:00
（保護者の送迎の場合のみ）","７:00～7:30　300円 19:30～20:00　300円/30分","7:30～19:30","1,200円/日","【新規】　　3,000円/年
【継続】　　2,000円/年","800円/年","100円/日","各自持参","兄弟姉妹割引有、お迎え（有料）
その他諸費あり"
"16","34.2915888","134.0415814","学童保育なかよしクラブ（第２）","多肥上町310番地8","087-880-1588/080-5664-7790","小学1～6年生","22人（長期休暇中のみの利用を含む）","月～土曜日","放課後～19:30
土曜日　7:30～19:30","10,000円/月 10,000円未満の場合は以下の日割り  平日　700円/日 土曜日　1,200円/日","７:00～7:30、19:30～20:00
（保護者の送迎の場合のみ）","７:00～7:30　300円 19:30～20:00　300円/30分","7:30～19:30","1,200円/日","【新規】　　3,000円/年
【継続】　　2,000円/年","800円/年","100円/日","各自持参","兄弟姉妹割引有、お迎え（有料）
その他諸費あり"
"17","34.2784339","134.0542943","学童保育Ciao（ちゃお）","多肥上町2042番地17","087-816-1313","小学1～6年生","45人","月～土曜日","放課後～19:00                                                 土曜日　8:00～18:00","【定期】　月～金曜日　15,000円/月(軽食付）　　　　
【土曜日】定期　   2,000円/日（デザート付）","7:30～8:00、19:00～20:00
(土曜日の延長保育はありません）","500円/30分","7:30～18:30
（延長は18時30分以降のみ）","【3,4,7,12,1月】 15,000円/月に700円×午前利用日数を加算 【8月】 30,000円/月","6,000円/年
（継続5,000円/年）","800円/年","おやつに軽食を提供（利用料に含む）
*長期休暇中のおやつはデザートに変更（利用料に含む）　　　","各自持参・弁当注文可能","・兄弟割引、ひとり親登録免除制度
・自宅周辺お見送り可
・学校休校日、警報発令時保育実施
・塾等お見送り要相談（近隣のみ）"
"18","34.2952324","134.0435703","学童クラブおおぞら","多肥下町1538番地5","087-887-9366","小学1～6年生","40人","月～土曜日","放課後～19:00
土曜日　7:30～19:00","　　月～金　週３日10,000円/月 　　　　　　週５日13,000円/月","19:00～20:00","500円/30分","7:30～19:00","月は平常時利用料の倍額","無料","無料（施設独自の団体保険加入あり）","上記利用料に含む","各自持参","無償送迎あり（学校→クラブ）
有償送迎あり（クラブ→塾等）
警報発令時開園
緊急下校へのお迎え対応あり"
"19","34.3014682","134.0465886","アルペジオ放課後児童クラブ","多肥上町1262番地1"," 087-813-7133","小学1～6年生（1～3年生優先）","25人","月～土曜日","放課後～18:30 土曜日　8:30～17:30","【定期】月～金13,000円/月(おやつ代込) 【不定期】月～金1,300円/日(おやつ代込) 【土曜日】8:30～13:30　1,000円 13:30～17:30　1,000円（おやつ代込）","平日18:30～19:00 学校休業日7:30～8:00 18:30～19:00 土曜日17:30～18:30","500円/30分","8:30～18:00
土曜日　8:30～18:00（延長なし）","【定期】８月以外500円加算/日(おやつ代 込) 8月　20,000円/月(おやつ代込) 【不定期】  2,000円／日(おやつ代込)","3,000円/年","800円/年","利用料に含む","400円/1食","下校時お迎え　（有料）
長期休暇園外活動費用　実費徴収"
"20","34.26986288222126","134.0069673930353","和光アフタースクール","川部町1576番地4","087-814-3001","小学1～6年生（1～４年生を優先）","45人","月～土曜日","放課後～18:30土曜日　8:00～17:00","【定期】　　月～金　8,000円/月
　　　　　　土曜日　   650円/日
【不定期】　月～金　   500円/日
　　　　　　土曜日　   750円/日
　　　　学校休業日  　 750円/日","午前延長　 7:30～8:00 午後延長 18:30～19:00 午後延長(土曜日)　17:00～17:30","500円／30分","8:00～18:30","【定期】８月　月～金　13,000円
　　　　
その他　　250円加算／日

【不定期】学校休業日　750円/日","【定期】年会費　3,500円/年
【不定期】年会費　1,500円/年","800円/年","定期2,000円/月 不定期100円/日","各自持参","兄弟姉妹割引あり（２人目以降基本利用料割引）"
"21","34.2801871","134.0214403","らく楽児童クラブ","寺井町1195番地１","087-885-6000","小学1～6年生","40人","月～土曜日","放課後～18:30
土曜日　7:30～18:30","月～金曜日　10,000円/月
月～土曜日　13,500円/月
  ","18:30～19:00","500円/30分","7:30～18:30","＜8月のみ＞
月～金曜日　15,000円
月～土曜日　18,500円","5,000円/年","800円/年","100円/日","各自持参","兄弟姉妹割引・ひとり親割引あり
送迎有（一宮・円座・大野小）"
"22","34.283981","134.0322904","アフタースクール空港通り","一宮町97番地7","070-4512-4218","小学1～6年生","15人","月～土曜日","放課後～18:00
土曜日・学校休業日　8:00～18:00","【定期】月～金曜日　12,000円/月
【一時】月～金曜日　  1,000円/日
　　　　土曜日・学校休業日　2,000円/日
　　　　※土曜日は一時利用のみ","18:00～18:30","500円/30分","8:00～18:00","8月のみ　　                   　　　　　 　　　　20,000円/月　　　　　　　　　　　　　　　  2,000円/日","—","800円/年","要問い合せ","各自持参","送迎あり（一宮・仏生山・大野小。利用料に含む。）"
"23","34.2798327","134.0401547","カナン児童クラブ","仏生山町甲745番地1","087-864-8321","小学1～6年生（仏生山地区優先）","50人","月～土曜日","放課後～18:00
土曜日　8:30～17:30","５,000円/月（教材代含む）
（2000円/月おやつ代）
","７:00～8:29、18:01～19:00
※土曜日の夕方延長保育はありません。
＊長期休暇中も同様です","＜単発利用＞300円/30分
＜月登録＞   18:01～19:00   3,000円/月","8:30～18:00（早朝・延長あり）","＜７月＞　10,000円/月（夏休み利用の場合）
　　　　  　7,000円/月（夏休み利用しない場合）
＜８月＞　15,000円/月"," 5,000円/年","500円/年","利用料に含む","各自持参","兄弟姉妹割引あり"
"24","34.2798327","134.0401547","カナンそごう児童クラブ","十川西町546番地1","087-848-4501","小学1～6年生（卒園児・低学年優先）","25人","月～土曜日","放課後～18:00
土曜日　8:30～17:30","月～金曜日　7,000円/月
                  （教材代含む）
月～土曜日　9,000円/月
                  （教材代含む）
土曜の単発利用　800円/１回","７:30～8:29、18:01～19:00
※土曜日の夕方延長保育はありません。","＜非登録＞300円/30分
＜登録＞　7:30～8:29　春・冬休み 1,000円
　　　　 　　 　　　　    夏休み    　4,000円
　　 　　
18:01～19:00   3,000円/月","8:30～18:00","＜7月＞10,000円/月（夏休み利用の場合）
　　　　 7,000円/月（夏休み利用しない場合）
＜8月＞15,000円/月（夏休み利用の場合）
　　　　 2,500円/月（夏休み利用しない場合）"," 5,000円/年
（10月以降の途中入会 2,500円）","500円/年","利用料に含む","各自持参","兄弟姉妹割引あり
（２人目以降利用料2,500円引き）"
"25","34.300412","134.1136093","西光寺保育所(学童保育ぱんだ組）","前田西町167番地1","087-847-6237","小学1～６年生（１～３年生優先）","40人","月～金曜日
土曜日は要相談","放課後～18:00（延長保育あり）
土曜日　8:00～16:30","300円/日
（3時間）","月～金　7:00～8:00、18:00～19:00                             　土曜日　7:30～8:00                                                               ※土曜日の夕方延長保育はありません。","100円／30分","8:00～18:00（延長保育あり）","800円／日
（10時間を超える場合100円／30分）","3,000円
（兄弟姉妹2人目以降1,000円）","—","50円/日","250円/日",
"26","34.3314857","134.0923198","春日こども園","春日町1287番地1","087-843-3689","小学1～6年生","50人ぐらい","月～土曜日","放課後～17:30
土曜日　8:30～17:00","5,000円/月（8月を除く）
諸費（教材代）2,000円/月","月～金　7:00～8:30、17:30～19:00  　                      土曜日　7:00～8:30                                                               ※土曜日の夕方延長保育はありません。","＜登録＞ 
７:00～7:30 3,000円/月  17:31～18:00 2,000円/月
７:31～8:00 2,000円/月  18:01～18:30 2,000円/月+400円/回
8:01～8:30 1,000円/月  18:31～19:00 2,000円/月 +900円/回","8:30～17:30
（延長は平常時と同じ）","100円/時間
諸費（教材代）2,000円/月","5,000円/年
（保険料800円を含む）","—","利用料に含む","各自持参",
"27","34.351002306853445","134.08897881924293","スマはぴキッズ学童クラブ","屋島西町2484番地11","087-843-0188","小学１～６年生","39人","月～土曜日
土曜日については施設の指定する日のみ","放課後～18:30
土曜日 8:30～18:30","13,000円/月","8:00～８:30、18:30～19:00","500円/30分","8:30～18:30","1、3、4、7、12月　18,000円
8月　30,000円","5,000円/年","800円/年","備考参照","各自持参","兄弟姉妹割引有（２人目以降利用料、送迎費２割引）
母子父子家庭は登録料免除
☆Ｒ３年度児童募集にあたりキャンペーン実施中☆
【利用料；平常時7,000円/月（別途おやつ・運営費代1,500円）長期休暇（８月）10,000円（別途おやつ・運営費2,000円）】"
"28","34.3033239","133.9470053","いずみこども園","国分寺町国分2408番地","087-874-0882","小学1～６年生（１～３年生優先）","40人","月～土曜日","放課後～18:00（延長保育有）
土曜日　8:00～18:00","【定期】　月～金曜日　4,500円/月
　　　　　　土曜日   　1,000円/半日","7:30～8:00、18:00～19:00　　　　　　　　　　　　　　　　　※土曜日の夕方延長保育はありません。","　   7：30～8：00　2,000円/月
  18：00～19：00　3,000円/月
＜単発＞  20分につき100円","平日土曜共　8:00～18:00
（朝・夕延長保育有）","月～金曜日　  8,000円/月
土曜日　1,000円/半日","上記利用料に含む","上記利用料に含む","1,500円/月","350円/日","保育園行事等の事情で、利用制限をお願いする時があります。"
"29","34.333379","134.0430366","中野保育所児童クラブ","中野町２７番地５","090-7510-0551","小学1～6年生","３５人","月～土曜日","放課後～18:30
土曜日　8:30～17:00","基本利用料　10,000円/月
　　土曜日　　8:30～13:00　500円
　　　　　　　　8:30～17:00　1,000円","7:30～8:00
8:01～8:30
18:30～19:00
19:01～19:30","下記以外　300円/30分
19:01～19:30　500円","8:30～18:30","通常利用者　８月のみ15,000円/月
長期休暇のみ利用者　春、冬休み10,000円/月
夏休み期間中　20,000円/月","5,000円/年","登録料に含む","利用料に含む","各自持参もしくは注文あり",
"30","34.30957784766427","134.0462155350798","にこにこ保育教育研究センター 付属学童クラブのびのび","太田下町2350番地1","087-802-5360","小学1～6年生"," ３０人","月～土曜日","放課後～18:30 土曜日　8:00～18:30","【定期】月～金　12,000円/月 　　　　月～土　16,000円/月 【不定期】8:00～13:00　1,000円 13:00～18:30　1,200円(おやつ含む)","7：30～8：00 18：30～19：00","500円/30分 "," 8:00～18:30","【定期】1,3,4,7,12月 月～金　16,000円/月 月～土　20,000円/月 ８月　月～金　22,000円/月　月～土　26,000円/月 【不定期】8:00～13:00　1,000円/日 13:00～18:30　1,200円/日(おやつ含む)","新規3,000円/年 継続2,000円/年"," 800円/年","月～金　2,000円/月 月～土　2,500円/月","昼食450円/１食 ","FAX：087-802-5315"
"31","34.34328404459286","134.01707847516133","放課後児童クラブにじいろキッズ","郷東町117番地","087-881-8063","小学１～６年生","２５人","月～土曜日","放課後～18:30 土曜日 8:30～18:30","基本利用料(月極)　6,000円/月 基本利用料(スポット)　1,500円/日(おやつ 代含む)","8:00～8:30(8月及び長期休暇のみ) 18:30～19:00","500円/30分 ","8:30～18:30","基本利用料(月極)　8月のみ9,000円/月 基本利用料(スポット)　2,000円/日(おやつ代含む) 基本利用料(スポット8月のみ)　13,000円/月","初回5,000円/年 継続費 5,000円/年(月額コース(通常時)のみ年度更新時に徴 収)","800円/年","通常時(月極)1,500円/月(8月のみ2,000円) スポット(8月のみ)2,000円/月","各自持参又は弁当注文あり","タクシー送迎料200円～/回(月極利用者無料) ※校区によって変動有、平日限定 兄弟割引：2人目から利用料及びタクシー送迎料2割引 き 市民税非課税世帯のうちひとり親家庭：登録料免除 希望者はサンハート体操教室割引あり"
"32","34.338722183705485","134.065357129135","ちゃぷちゃぷ放課後児童クラブ"," 松島町2丁目12番地８号","087-802-2237","小学1～６年生","10人"," 月～土曜日","放課後～18:30 土曜日　8:30～13:00","【定期】月～金　15,000円/月 土曜日　8:00～13:00　1,000円 【不定期】　月～金　2,500円/日 土曜日　8:00～13:00　1,500円","月～金　18:30～19:00 長期休暇及び振替休日　7:30～8:30","500円/30分","8:30～18:30","定期　夏季休暇月～金曜日：7月20,000円,8月25,000円 冬季・春季休暇月～金曜日：15,000円+800円（日額） 不定期　夏季・冬季・春季休暇3,000円（日額） ※定期利用・不定期利用ともに土曜日：8時30分～13時　 2,500円","5,000円/年 長期休暇のみ3,000円/年","—","利用料に含む","実費","送迎代：実費 医療的ケア児加算料金：内容により要相談 キャンセル料：利用日前日19時まで　なし 利用日前日19時～営業開始時間まで　利用料の50％ 営業開始時間以降/連絡なし　利用料の100％ 生活保護世帯は利用料及び延長料免除"
"33","34.31108543801221","134.05141756886752","スマはぴキッズ学童クラブふせいしの杜","高松市伏石町874番地15","087-843-1488","小学１～６年生","39人","月～土曜日","放課後～18:30 土曜日 8:30～17:30","基本利用料(定期)　13,000円/月 (1,3,4,7,12月18,000円/月) 基本利用料(スポット)　1,500円/日(長期休 暇,土曜日2,000円)","8:00～8:30 18:30～19:00","500円/30分","8:30～18:30","基本利用料(定期)　8月のみ30,000円/月 基本利用料(スポット)　2,000円/日","初回5,000円/年 継続費 5,000円/年","800円/年","【定期】利用料に含む","各自持参","一人親家庭は登録料、継続料免除 兄弟利用２人目から利用料、送迎費を 20％免除"
"34","34.28542903678199","134.00364417997116","スマはぴキッズ学童クラブえんざの杜","高松市円座町西村129番16","087-843-1488"," 小学１～６年生","17人","月～土曜日","放課後～18:30 土曜日 8:30～18:30","基本利用料(定期)　13,000円/月 (1,3,4,7,12月18,000円/月) 基本利用料(スポット)　1,500円/日(長期休 暇,土曜日2,000円)","8:00～8:30 18:30～19:00","500円/30分","8:30～18:30","基本利用料(定期)　8月のみ30,000円/月 基本利用料(スポット)　2,000円/日 ","初回5,000円/年 継続費 5,000円/年 ","800円/年","【定期】利用料に含む","各自持参","一人親家庭は登録料、継続料免除 兄弟利用２人目から利用料、送迎費を 20％免除"
"35","34.340206028199134","134.0825069153638","学童保育サンダ☆キッズ　 ※R6.4.1開所予定","高松市木太町2699番地1"," 087-832-5566"," 小学１～６年生","25人"," 月～土曜日","放課後～18：30 土曜日8:30～18:00","基本利用料　13,000円/月","18:30～19:00","500円/30分","8:00～18:30","8月20,000円/月","5,000円/年"," 800円/年","2,000円/月","各自持参","ひとり親家庭登録料免除 兄弟姉妹2名以上の場合利用料20％免除"
